trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.9999997786732511}",20,11,-7.903724536669683,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.9999997510399109}",20,0,-147.8027717449065,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.9999997207129265}",30,0,-67.56013832604748,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.1, 'e': 0.9999996875}",20,0,-166.2971298478888,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
46,False,"{'a': 0.1, 'e': 0.9999996511998916}",20,0,-125.69491461847636,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.9999996116022168}",25,0,-178.38391751993706,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
48,False,"{'a': 0.1, 'e': 0.9999995684872428}",25,0,-30.20511271773784,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.1, 'e': 0.9999995216256854}",20,0,-80.97488236933387,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.999999470778506}",20,2,-153.7784072246187,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 4}",1
51,False,"{'a': 0.1, 'e': 0.9999994156967078}",25,0,-100.8345875849982,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.9999993561211333}",25,0,-146.67687744869636,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
53,False,"{'a': 0.1, 'e': 0.9999992917822605}",25,0,-82.75401081115231,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.9999992224}",20,0,-214.8541315161871,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
55,False,"{'a': 0.1, 'e': 0.9999991476834916}",35,0,-270.4106623834992,"{0: 15, 1: 8, 2: 5, 3: 4, 4: 3}",0
56,False,"{'a': 0.1, 'e': 0.9999990673309015}",20,0,-146.61371575290295,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
57,False,"{'a': 0.1, 'e': 0.9999989810292181}",25,13,-6.9748207302028815,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.99999888845405}",20,0,-80.63796456619515,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
59,False,"{'a': 0.1, 'e': 0.999998789269422}",20,0,-146.6139090101224,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
60,False,"{'a': 0.1, 'e': 0.999998683127572}",30,0,-157.75487837666736,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
61,False,"{'a': 0.1, 'e': 0.999998569668748}",20,0,-89.48578164303179,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 0.1, 'e': 0.9999984485210046}",30,0,-90.54207565354096,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.1, 'e': 0.9999983193}",20,0,-17.017863230371702,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.9999981816087927}",20,0,-88.35959439288538,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.1, 'e': 0.9999980350376382}",25,0,-134.39466736215027,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
66,False,"{'a': 0.1, 'e': 0.999997879163786}",20,0,-133.146087290347,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.1, 'e': 0.9999977135512761}",20,0,-100.52815219773875,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.1, 'e': 0.9999975377507359}",20,0,-84.73866998172075,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
69,False,"{'a': 0.1, 'e': 0.999997351299177}",30,0,-121.4380513998006,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
70,False,"{'a': 0.1, 'e': 0.999997153719792}",20,0,-176.21541386513152,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
71,False,"{'a': 0.1, 'e': 0.9999969445217515}",30,0,-140.06165986149094,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
72,False,"{'a': 0.1, 'e': 0.9999967232}",20,0,-73.79972035951897,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.9999964892350539}",25,0,-136.75842749881193,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.9999962420927975}",20,0,-195.27530675328924,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
75,False,"{'a': 0.1, 'e': 0.9999959812242798}",25,0,-173.8644382933134,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
76,False,"{'a': 0.1, 'e': 0.9999957060655117}",20,0,-204.76327774412476,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
77,False,"{'a': 0.1, 'e': 0.9999954160372623}",30,0,-124.50484960542823,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
78,False,"{'a': 0.1, 'e': 0.999995110544856}",20,0,-83.05880545529857,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.9999947889779691}",20,0,-58.07427465988677,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
